Genre,Movie Name,Duration,Duration Minutes,Rating,Votes,genre
Action,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,1h 44m,104.0,7.1,8400.0,Scripts\action_movies
Action,London Calling,1h 49m,109.0,7.8,20.0,Scripts\action_movies
Action,The Hangman,1h 32m,92.0,3.3,997.0,Scripts\action_movies
Action,Terminator: Skynet Rising,1h 28m,88.0,6.8,263.0,Scripts\action_movies
Action,Roadkill,1h 30m,90.0,3.7,677.0,Scripts\action_movies
Action,Max,2h 12m,132.0,7.1,3300.0,Scripts\action_movies
Action,WWII: Operation Phoenix,1h 46m,106.0,6.2,71.0,Scripts\action_movies
Action,Escape,1h 34m,94.0,6.4,2000.0,Scripts\action_movies
Action,Ferry 2,1h 34m,94.0,5.6,3700.0,Scripts\action_movies
Action,No Time to Spy: A Loud House Movie,1h 21m,81.0,6.4,444.0,Scripts\action_movies
Action,War of the Worlds: Extinction,1h 24m,84.0,3.1,200.0,Scripts\action_movies
Action,Murder at Hollow Creek,1h 24m,,4.1,82.0,Scripts\action_movies
Action,Savi,2h 6m,126.0,6.2,35000.0,Scripts\action_movies
Action,Chandu Champion,2h 22m,142.0,7.8,34000.0,Scripts\action_movies
Action,The Family Star,2h 39m,159.0,5.4,5400.0,Scripts\action_movies
Action,40 Acres,1h 53m,113.0,6.8,127.0,Scripts\action_movies
Action,Drive Back,1h 34m,94.0,4.7,298.0,Scripts\action_movies
Action,12 to Midnight,1h 36m,96.0,3.6,283.0,Scripts\action_movies
Action,Raayan,2h 25m,145.0,6.5,11000.0,Scripts\action_movies
Action,A.R.M,2h 30m,150.0,7.1,8600.0,Scripts\action_movies
Action,The Last Front,1h 38m,98.0,5.5,607.0,Scripts\action_movies
Action,Escape from the 21st Century,1h 38m,98.0,6.5,855.0,Scripts\action_movies
Action,The Lockdown,1h 57m,117.0,4.3,603.0,Scripts\action_movies
Action,"Love, Courage and the Battle of Bushy Run",1h 53m,113.0,4.9,179.0,Scripts\action_movies
Action,GTMax,1h 40m,100.0,5.0,1200.0,Scripts\action_movies
Action,The Greatest of All Time,3h 3m,183.0,5.7,22000.0,Scripts\action_movies
Action,Stuntman,1h 54m,114.0,7.0,161.0,Scripts\action_movies
Action,Bionic,1h 50m,110.0,4.3,1700.0,Scripts\action_movies
Action,Thangalaan,2h 36m,156.0,6.6,6600.0,Scripts\action_movies
Action,Purushothamudu,2h,120.0,5.1,2200.0,Scripts\action_movies
Action,Kanguva,2h 32m,152.0,4.5,15000.0,Scripts\action_movies
Action,Get Fast,1h 28m,88.0,3.6,448.0,Scripts\action_movies
Action,Baby Assassins: Nice Days,1h 43m,103.0,7.3,290.0,Scripts\action_movies
Action,The Lost Tiger,1h 30m,90.0,7.8,44.0,Scripts\action_movies
